run,tasks,gzip,num_cpus,driver_tps,hs_cpu_limit,hs_env,gc_percent,gomaxprocs,events_per_task,bytes_per_event,raw_mib,stored_mib,gzip_ratio,raw_b_per_task,stored_b_per_task,logs_mib,task_ids_seen,task_ids_expected,job_wall_s,node_peak_events_per_s,collector_us_per_event,collector_worker_peak_mib,collector_head_peak_mib,collector_worker_peak_cores,collector_worker_avg_cores,collector_head_peak_cores,collector_head_avg_cores,collector_503s,collector_upload_failures,collector_log_capture,flush_s,hs_cold_s,hs_measured,hs_status,hs_peak_mib,hs_b_per_task,ray_head_peak_mib,ray_worker_peak_mib,hs_ms_per_task
G1-rotate1m-n50k,50000,off,0.2,2411.8,4,,,,4.318,727.8,149.86,149.86,1,3142.9,3142.9,2.503,50001,50000,55.0,6449.2,121.3,114.6,146.9,0.951,0.22,1.128,0.314,0,0,yes,2.0,39.27,yes,200,992.2,20807.8,3558.1,966.5,0.785
hscpu4-n1000,1000,off,0.2,910,4,,,,4.295,730.0,3.0,3.0,1,3145.5,3145.5,0.311,1001,1000,30.0,228.1,148.1,64.4,72.5,0.251,0.01,0.312,0.013,0,0,yes,2.0,0.69,yes,200,97.4,102088.7,3206.7,557.9,0.689
hscpu4-n10000,10000,off,0.2,2078,4,,,,4.341,726.5,30.08,30.08,1,3154.3,3154.3,0.731,10001,10000,35.0,2338.6,116.7,95.2,97.2,0.668,0.067,0.647,0.095,0,0,yes,1.0,6.25,yes,200,224.1,23496.3,3329.5,908.5,0.625
hscpu4-n100000,100000,off,0.2,3138.4,4,,,,4.274,726.4,296.08,296.08,1,3104.6,3104.6,4.663,98322,100000,75.1,7623.6,123.6,116.9,145.4,1.121,0.33,1.735,0.465,0,0,yes,2.0,62.67,yes,200,1672.7,17539.4,3846.2,1022.3,0.627
hscpu4-n20000,20000,off,0.2,2582.8,4,,,,4.364,725.4,60.4,60.4,1,3166.5,3166.5,1.155,20001,20000,35.0,4725.7,118.8,111.4,115.4,0.833,0.136,1.112,0.201,0,0,yes,2.0,14.45,yes,200,510.2,26748.5,3448.6,936.0,0.722
hscpu4-n5000,5000,off,0.2,1552.7,4,,,,4.587,714.4,15.64,15.64,1,3279.1,3279.1,0.52,5001,5000,30.0,1291.8,123.9,74.7,93.4,0.429,0.041,0.714,0.062,0,0,yes,2.0,3.17,yes,200,197.1,41331.1,3294.7,896.0,0.635
hscpu4-n50000,50000,off,0.2,2965.2,4,,,,4.353,725.7,150.64,150.64,1,3159.1,3159.1,2.501,50001,50000,50.0,7736.8,115.8,114.5,142.1,1.039,0.232,1.152,0.333,0,0,yes,3.0,30.52,yes,200,1192.2,25001.8,3570.2,969.3,0.61
logfix-n100000,100000,off,0.2,3098.4,500m,,,,4.315,724.2,298.05,298.05,1,3125.3,3125.3,4.658,98267,100000,75.1,7740.8,122.2,116.3,144.5,1.015,0.326,1.639,0.465,0,0,yes,2.0,,no,0,1998.5,20955.4,3859.0,1029.3,
logfix-n50000,50000,off,0.2,2457.2,500m,,,,4.38,724.3,151.29,151.29,1,3172.8,3172.8,2.505,50001,50000,55.0,6708.5,122.3,115.0,127.7,1.113,0.222,1.107,0.313,0,0,yes,3.0,85.3,yes,200,1148.6,24088.5,3541.9,976.1,1.706
A-n1000,1000,off,0.2,920.9,500m,,,,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,25.0,0,,62.5,72.4,0.268,0.012,0.357,0.017,0,0,no,123.2,,no,0,0,0.0,2097.0,559.8,
A-n10000,10000,off,0.2,2112.6,500m,,,,4.343,726.3,30.09,30.09,1,3155.6,3155.6,0.73,10005,10000,30.0,2341.9,119.4,88.4,101.1,0.793,0.08,0.716,0.118,0,0,no,1.0,19.86,yes,200,290.9,30507.8,2541.2,900.1,1.986
A-n100000,100000,off,0.2,3084,500m,,,,4.297,727.7,298.18,298.18,1,3126.7,3126.7,4.614,99540,100000,55.0,7849.9,120.7,117.5,145.0,1.075,0.439,2.137,0.654,0,0,yes,1.0,,no,0,2201.6,23085.8,3191.4,1027.2,
A-n5000,5000,off,0.2,1454.8,500m,,,,4.758,706.8,16.04,16.04,1,3364.8,3364.8,0.509,5005,5000,25.0,1377.5,124.0,75.7,93.7,0.666,0.05,0.837,0.092,0,0,no,2.0,9.83,yes,200,184.5,38691.6,2484.3,852.5,1.966
A-n50000,50000,off,0.2,2855.3,500m,,,,4.364,725.2,150.91,150.91,1,3164.8,3164.8,2.42,50005,50000,40.0,7484.6,115.3,113.7,144.6,1.052,0.288,1.172,0.407,0,0,no,3.0,97.85,yes,200,1131.7,23732.9,2869.3,967.7,1.957
B-cpus0.05,20000,off,0.05,1659.4,500m,,,,4.563,715.6,62.29,62.29,1,3265.8,3265.8,1.318,20005,20000,35.0,4538,117.3,113.6,105.0,0.916,0.134,0.906,0.202,0,0,no,2.0,40.86,yes,200,494.0,25902.3,2631.7,1975.9,2.043
B-cpus0.1,20000,off,0.1,1699.7,500m,,,,4.481,719.3,61.49,61.49,1,3223.9,3223.9,1.24,20005,20000,35.0,4277.2,120.1,111.9,107.5,1.113,0.137,0.811,0.202,0,0,no,2.0,41.29,yes,200,492.7,25830.0,2694.0,1483.3,2.064
B-cpus0.2,20000,off,0.2,2500.6,500m,,,,4.39,723.9,60.62,60.62,1,3178.3,3178.3,1.152,20005,20000,30.0,4776.3,118.5,114.2,137.4,1.03,0.158,1.153,0.236,0,0,no,2.0,37.6,yes,200,479.9,25159.5,2727.3,939.5,1.88
B-cpus0.5,20000,off,0.5,2893.3,500m,,,,4.324,727.3,59.99,59.99,1,3145.2,3145.2,1.101,20005,20000,30.0,4645.7,123.6,108.8,145.2,0.947,0.165,1.152,0.231,0,0,no,2.0,33.88,yes,200,467.0,24484.9,2733.6,610.4,1.694
C-gzip-n1000,1000,on,0.2,960.2,500m,,,,4.03,744.9,2.87,0.26,0.0894,3012.3,269.4,0.302,1005,1000,25.0,201.7,143.1,62.8,73.8,0.237,0.011,0.275,0.015,0,0,no,2.0,1.82,yes,200,98.1,102875.1,2382.8,576.2,1.821
C-gzip-n10000,10000,on,0.2,1930.3,500m,,,,4.539,716.6,31.03,2.83,0.0912,3253.9,296.8,0.731,10005,10000,30.0,2536.8,122.2,97.1,105.5,0.95,0.081,0.847,0.129,0,0,no,2.0,20.69,yes,200,293.9,30819.9,2539.0,890.7,2.069
C-gzip-n100000,100000,on,0.2,2879.5,500m,,,,4.357,725.5,301.44,27.47,0.0911,3160.9,288.1,4.613,100005,100000,55.0,7462.5,125.2,124.2,146.0,1.125,0.455,2.09,0.682,0,0,yes,3.0,,no,0,1639.7,17193.1,3040.1,1020.7,
C-gzip-n5000,5000,on,0.2,1657.3,500m,,,,4.422,722.5,15.24,1.38,0.0902,3196.5,288.4,0.51,5005,5000,25.0,1209.3,124.3,72.7,94.1,0.601,0.05,0.701,0.072,0,0,no,2.0,9.5,yes,200,165.3,34656.3,2493.3,852.5,1.9
C-gzip-n50000,50000,on,0.2,2645.3,500m,,,,4.402,723.2,151.81,13.85,0.0913,3183.8,290.6,2.48,50005,50000,45.0,7039.2,118.1,116.0,144.3,1.018,0.262,1.14,0.393,0,0,no,4.0,105.77,yes,200,1065.8,22351.7,2784.5,976.2,2.115
armA-n100k,100000,off,0.2,2494.5,500m,,,,4.336,726.6,300.48,300.48,1,3150.8,3150.8,4.687,100001,100000,85.1,6962.2,131.0,115.5,146.8,1.885,0.308,1.55,0.422,0,0,yes,3.0,,no,0,1525.1,15991.9,2891.9,1056.9,
rerun-A-n1000,1000,off,0.2,767.8,500m,,,,4.474,720.8,3.08,3.08,1,3234.8,3234.8,0.308,1005,1000,25.0,246.2,150.1,64.4,74.8,0.247,0.012,0.219,0.017,0,0,yes,2.0,2.28,yes,200,95.3,99930.1,1677.8,640.1,2.279
rerun-A-n100k-ring,100000,off,0.2,2692.3,500m,,,,4.37,724.8,302.07,302.07,1,3167.4,3167.4,4.61,100005,100000,60.0,7035.5,130.8,115.8,145.5,2.051,0.436,1.533,0.6,0,0,yes,2.0,,no,0,1983.7,20801.1,3465.8,1028.2,
